GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|YEAR|GOVEMPFUNCT|GOVEMPFUNCT_TTL|EMPFT|EMPFT_F|PAYANNFT|PAYANNFT_F|EMPPT|EMPPT_F|PAYANNPT|PAYANNPT_F|HRSPT|HRSPT_F|EMPFTE|EMPFTE_F|EMP|EMP_F|PAYANN|PAYANN_F
02|15|0400000US15|Hawaii||2016|1220|Public Welfare|398||1764396||17||12078||1296||405||415||1776474|
02|15|0400000US15|Hawaii||2016|1240|Health|1906||9655544||37||110562||3340||1925||1943||9766106|
02|15|0400000US15|Hawaii||2016|1260|Hospitals|3903||22367069||775||2521877||71893||4308||4678||24888946|
02|15|0400000US15|Hawaii||2016|1280|Social Insurance Administration|201||918598||12||32560||960||206||213||951158|
02|15|0400000US15|Hawaii||2016|1300|Solid Waste Management|0||0||0||0||0||0||0||0|
02|15|0400000US15|Hawaii||2016|1320|Sewerage|0||0||0||0||0||0||0||0|
02|15|0400000US15|Hawaii||2016|1340|Parks and Recreation|139||565960||408||127174||8727||188||547||693134|
02|15|0400000US15|Hawaii||2016|1360|Housing and Community Development|0||0||0||0||0||0||0||0|
02|15|0400000US15|Hawaii||2016|1380|Natural Resources|790||3735364||24||78870||2812||805||814||3814234|
02|15|0400000US15|Hawaii||2016|1400|Water Supply|0||0||0||0||0||0||0||0|
02|15|0400000US15|Hawaii||2016|1420|Electric Power|0||0||0||0||0||0||0||0|
02|15|0400000US15|Hawaii||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
02|15|0400000US15|Hawaii||2016|1460|Transit|0||0||0||0||0||0||0||0|
02|15|0400000US15|Hawaii||2016|1480|Education Total|32398||149379304||17825||18223168||977166||38196||50223||167602472|
02|15|0400000US15|Hawaii||2016|1481|Education - Elementary and Secondary Total|22296||98795086||12376||13595454||738884||26748||34672||112390540|
02|15|0400000US15|Hawaii||2016|14811|Education - Elementary and Secondary Instructional|17094||80951262||10835||12380342||661102||21077||27929||93331604|
02|15|0400000US15|Hawaii||2016|14812|Education - Elementary and Secondary Other|5202||17843824||1541||1215112||77782||5671||6743||19058936|
02|15|0400000US15|Hawaii||2016|1482|Education - Higher Education Total|9970||50032262||5447||4623852||238122||11315||15417||54656114|
02|15|0400000US15|Hawaii||2016|14821|Education - Higher Education Instructional|4089||27844488||747||1039884||34140||4282||4836||28884372|
02|15|0400000US15|Hawaii||2016|14822|Education - Higher Education Other|5881||22187774||4700||3583968||203982||7033||10581||25771742|
02|15|0400000US15|Hawaii||2016|1483|Education - Other|132||551956||2||3862||160||133||134||555818|
02|15|0400000US15|Hawaii||2016|1500|Libraries|487||1824254||241||183644||15130||572||728||2007898|
02|15|0400000US15|Hawaii||2016|1560|State liquor stores|0||0||0||0||0||0||0||0|
02|15|0400000US15|Hawaii||2016|1580|All other and unallocable|3556||16052558||44||63068||3623||3575||3600||16115626|
02|16|0400000US16|Idaho||2016|1000|Total - All Government Employment Functions|20642||106667162||10563||11848381||599365||24025||31205||118515543|
02|16|0400000US16|Idaho||2016|1020|Financial Administration|1210||6740396||126||238247||15905||1300||1336||6978643|
02|16|0400000US16|Idaho||2016|1040|Other Government Administration|228||1271423||89||225450||14875||311||317||1496873|
02|16|0400000US16|Idaho||2016|1060|Judicial and Legal|533||5053132||53||163186||3597||553||586||5216318|
02|16|0400000US16|Idaho||2016|1100|Police Protection Total|482||2430973||18||25157||1424||490||500||2456130|
02|16|0400000US16|Idaho||2016|1101|Police Protection - Persons with Power of Arrest|266||1569800||0||0||0||266||266||1569800|
02|16|0400000US16|Idaho||2016|1102|Police Protection - Other|216||861173||18||25157||1424||224||234||886330|
02|16|0400000US16|Idaho||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1140|Corrections|2396||12853094||20||34654||1809||2407||2416||12887748|
02|16|0400000US16|Idaho||2016|1160|Highways|1304||5505228||18||36607||3277||1323||1322||5541835|
02|16|0400000US16|Idaho||2016|1180|Air Transportation|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1200|Water Transport and Terminals|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1220|Public Welfare|1744||7049779||136||332617||14383||1825||1880||7382396|
02|16|0400000US16|Idaho||2016|1240|Health|1643||8535540||279||808991||27012||1795||1922||9344531|
02|16|0400000US16|Idaho||2016|1260|Hospitals|520||1929327||109||177836||12117||588||629||2107163|
02|16|0400000US16|Idaho||2016|1280|Social Insurance Administration|503||3087399||70||266489||10144||560||573||3353888|
02|16|0400000US16|Idaho||2016|1300|Solid Waste Management|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1320|Sewerage|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1340|Parks and Recreation|149||798576||91||116319||7320||190||240||914895|
02|16|0400000US16|Idaho||2016|1360|Housing and Community Development|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1380|Natural Resources|1553||8929905||711||1179356||61262||1900||2264||10109261|
02|16|0400000US16|Idaho||2016|1400|Water Supply|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1420|Electric Power|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1460|Transit|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1480|Education Total|7119||34806533||8564||7823383||402993||9394||15683||42629916|
02|16|0400000US16|Idaho||2016|1481|Education - Elementary and Secondary Total|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|14811|Education - Elementary and Secondary Instructional|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|14812|Education - Elementary and Secondary Other|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1482|Education - Higher Education Total|6749||32434028||8545||7757948||400808||9013||15294||40191976|
02|16|0400000US16|Idaho||2016|14821|Education - Higher Education Instructional|2466||14999928||3342||4315776||140203||3258||5808||19315704|
02|16|0400000US16|Idaho||2016|14822|Education - Higher Education Other|4283||17434100||5203||3442172||260605||5755||9486||20876272|
02|16|0400000US16|Idaho||2016|1483|Education - Other|370||2372505||19||65435||2185||381||389||2437940|
02|16|0400000US16|Idaho||2016|1500|Libraries|0||0||0||0||0||0||0||0|
02|16|0400000US16|Idaho||2016|1560|State liquor stores|156||741524||183||247114||16136||247||339||988638|
02|16|0400000US16|Idaho||2016|1580|All other and unallocable|1102||6934333||96||172975||7111||1142||1198||7107308|
02|17|0400000US17|Illinois||2016|1000|Total - All Government Employment Functions|102044||594783262||50836||88575935||3742081||123611||152880||683359197|
02|17|0400000US17|Illinois||2016|1020|Financial Administration|4506||23286771||314||695890||33157||4706||4820||23982661|
02|17|0400000US17|Illinois||2016|1040|Other Government Administration|1967||12780241||35||63601||2367||1982||2002||12843842|
02|17|0400000US17|Illinois||2016|1060|Judicial and Legal|2505||22908215||29||121974||2682||2521||2534||23030189|
02|17|0400000US17|Illinois||2016|1100|Police Protection Total|3050||22529930||21||63210||1364||3059||3071||22593140|
02|17|0400000US17|Illinois||2016|1101|Police Protection - Persons with Power of Arrest|1860||14726320||0||0||0||1860||1860||14726320|
02|17|0400000US17|Illinois||2016|1102|Police Protection - Other|1190||7803610||21||63210||1364||1199||1211||7866820|
02|17|0400000US17|Illinois||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1140|Corrections|12324||74440024||0||0||0||12324||12324||74440024|
02|17|0400000US17|Illinois||2016|1160|Highways|5688||38094825||1303||5784332||161563||6661||6991||43879157|
02|17|0400000US17|Illinois||2016|1180|Air Transportation|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1200|Water Transport and Terminals|49||382265||0||0||0||49||49||382265|
02|17|0400000US17|Illinois||2016|1220|Public Welfare|8888||51099793||29||118234||2816||8905||8917||51218027|
02|17|0400000US17|Illinois||2016|1240|Health|2183||14918011||15||61580||1338||2191||2198||14979591|
02|17|0400000US17|Illinois||2016|1260|Hospitals|10610||51465097||615||1657219||41976||10847||11225||53122316|
02|17|0400000US17|Illinois||2016|1280|Social Insurance Administration|1490||8812498||0||0||0||1490||1490||8812498|
02|17|0400000US17|Illinois||2016|1300|Solid Waste Management|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1320|Sewerage|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1340|Parks and Recreation|386||2147820||10||26817||1210||393||396||2174637|
02|17|0400000US17|Illinois||2016|1360|Housing and Community Development|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1380|Natural Resources|2261||11988424||1329||3461518||144276||3076||3590||15449942|
02|17|0400000US17|Illinois||2016|1400|Water Supply|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1420|Electric Power|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1460|Transit|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1480|Education Total|40004||225790688||46996||76176155||3337749||59205||87000||301966843|
02|17|0400000US17|Illinois||2016|1481|Education - Elementary and Secondary Total|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|14811|Education - Elementary and Secondary Instructional|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|14812|Education - Elementary and Secondary Other|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1482|Education - Higher Education Total|38103||215983380||46980||76106467||3335869||57293||85083||292089847|
02|17|0400000US17|Illinois||2016|14821|Education - Higher Education Instructional|12803||87496469||16971||35785545||997760||18590||29774||123282014|
02|17|0400000US17|Illinois||2016|14822|Education - Higher Education Other|25300||128486911||30009||40320922||2338109||38703||55309||168807833|
02|17|0400000US17|Illinois||2016|1483|Education - Other|1901||9807308||16||69688||1880||1912||1917||9876996|
02|17|0400000US17|Illinois||2016|1500|Libraries|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1560|State liquor stores|0||0||0||0||0||0||0||0|
02|17|0400000US17|Illinois||2016|1580|All other and unallocable|6133||34138660||140||345405||11583||6202||6273||34484065|
02|18|0400000US18|Indiana||2016|1000|Total - All Government Employment Functions|75588||333167872||43179||35660280||2405400||89278||118767||368828152|
02|18|0400000US18|Indiana||2016|1020|Financial Administration|1881||8211636||20||37281||1581||1889||1901||8248917|
02|18|0400000US18|Indiana||2016|1040|Other Government Administration|581||2796483||287||452529||33745||783||868||3249012|
02|18|0400000US18|Indiana||2016|1060|Judicial and Legal|1458||9583738||70||90732||4475||1484||1528||9674470|
02|18|0400000US18|Indiana||2016|1100|Police Protection Total|1844||8053242||0||0||0||1844||1844||8053242|
02|18|0400000US18|Indiana||2016|1101|Police Protection - Persons with Power of Arrest|1307||6139118||0||0||0||1307||1307||6139118|
02|18|0400000US18|Indiana||2016|1102|Police Protection - Other|537||1914124||0||0||0||537||537||1914124|
02|18|0400000US18|Indiana||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1140|Corrections|5934||17512783||11||13303||1167||5942||5945||17526086|
02|18|0400000US18|Indiana||2016|1160|Highways|3408||11824367||95||120760||7434||3453||3503||11945127|
02|18|0400000US18|Indiana||2016|1180|Air Transportation|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1200|Water Transport and Terminals|27||169643||0||0||0||27||27||169643|
02|18|0400000US18|Indiana||2016|1220|Public Welfare|5763||16794891||33||20461||1535||5773||5796||16815352|
02|18|0400000US18|Indiana||2016|1240|Health|1656||6404011||30||20750||745||1660||1686||6424761|
02|18|0400000US18|Indiana||2016|1260|Hospitals|1709||5806384||9||10932||631||1713||1718||5817316|
02|18|0400000US18|Indiana||2016|1280|Social Insurance Administration|1143||3423892||69||64891||5304||1175||1212||3488783|
02|18|0400000US18|Indiana||2016|1300|Solid Waste Management|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1320|Sewerage|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1340|Parks and Recreation|137||490956||49||45936||3979||161||186||536892|
02|18|0400000US18|Indiana||2016|1360|Housing and Community Development|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1380|Natural Resources|2097||7749595||279||293480||21487||2221||2376||8043075|
02|18|0400000US18|Indiana||2016|1400|Water Supply|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1420|Electric Power|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1460|Transit|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1480|Education Total|45761||225997338||41908||34343734||2314373||58912||87669||260341072|
02|18|0400000US18|Indiana||2016|1481|Education - Elementary and Secondary Total|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|14811|Education - Elementary and Secondary Instructional|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|14812|Education - Elementary and Secondary Other|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1482|Education - Higher Education Total|44806||222513016||41700||34213004||2305149||57901||86506||256726020|
02|18|0400000US18|Indiana||2016|14821|Education - Higher Education Instructional|19761||121199351||11394||18773448||889970||24808||31155||139972799|
02|18|0400000US18|Indiana||2016|14822|Education - Higher Education Other|25045||101313665||30306||15439556||1415179||33093||55351||116753221|
02|18|0400000US18|Indiana||2016|1483|Education - Other|955||3484322||208||130730||9224||1011||1163||3615052|
02|18|0400000US18|Indiana||2016|1500|Libraries|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1560|State liquor stores|0||0||0||0||0||0||0||0|
02|18|0400000US18|Indiana||2016|1580|All other and unallocable|2189||8348913||319||145491||8944||2241||2508||8494404|
02|19|0400000US19|Iowa||2016|1000|Total - All Government Employment Functions|41359||261558776||28324||23912968||1706893||51005||69683||285471744|
02|19|0400000US19|Iowa||2016|1020|Financial Administration|1279||7182374||48||118653||5159||1308||1327||7301027|
02|19|0400000US19|Iowa||2016|1040|Other Government Administration|355||1880304||252||508507||33737||546||607||2388811|
02|19|0400000US19|Iowa||2016|1060|Judicial and Legal|2209||12633328||78||236200||9497||2263||2287||12869528|
02|19|0400000US19|Iowa||2016|1100|Police Protection Total|878||5801187||6||12470||544||881||884||5813657|
02|19|0400000US19|Iowa||2016|1101|Police Protection - Persons with Power of Arrest|588||4185115||4||4873||190||589||592||4189988|
02|19|0400000US19|Iowa||2016|1102|Police Protection - Other|290||1616072||2||7597||354||292||292||1623669|
02|19|0400000US19|Iowa||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1140|Corrections|2702||13994493||124||435415||14447||2785||2826||14429908|
02|19|0400000US19|Iowa||2016|1160|Highways|2144||11478578||122||122357||7783||2188||2266||11600935|
02|19|0400000US19|Iowa||2016|1180|Air Transportation|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1200|Water Transport and Terminals|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1220|Public Welfare|2550||13178928||69||224320||8191||2596||2619||13403248|
02|19|0400000US19|Iowa||2016|1240|Health|412||2496870||65||115227||4690||438||477||2612097|
02|19|0400000US19|Iowa||2016|1260|Hospitals|7595||44529005||4523||2987845||185168||8641||12118||47516850|
02|19|0400000US19|Iowa||2016|1280|Social Insurance Administration|597||2396300||2||4680||128||598||599||2400980|
02|19|0400000US19|Iowa||2016|1300|Solid Waste Management|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1320|Sewerage|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1340|Parks and Recreation|96||523486||14||14725||1988||107||110||538211|
02|19|0400000US19|Iowa||2016|1360|Housing and Community Development|86||585315||4||12106||450||89||90||597421|
02|19|0400000US19|Iowa||2016|1380|Natural Resources|1474||8133285||198||185502||15686||1562||1672||8318787|
02|19|0400000US19|Iowa||2016|1400|Water Supply|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1420|Electric Power|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1460|Transit|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1480|Education Total|16716||123952714||22508||18216240||1385851||24546||39224||142168954|
02|19|0400000US19|Iowa||2016|1481|Education - Elementary and Secondary Total|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|14811|Education - Elementary and Secondary Instructional|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|14812|Education - Elementary and Secondary Other|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1482|Education - Higher Education Total|15712||118182374||22390||17858000||1375614||23483||38102||136040374|
02|19|0400000US19|Iowa||2016|14821|Education - Higher Education Instructional|3681||38373131||6581||11736623||429873||6109||10262||50109754|
02|19|0400000US19|Iowa||2016|14822|Education - Higher Education Other|12031||79809243||15809||6121377||945741||17374||27840||85930620|
02|19|0400000US19|Iowa||2016|1483|Education - Other|1004||5770340||118||358240||10237||1063||1122||6128580|
02|19|0400000US19|Iowa||2016|1500|Libraries|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1560|State liquor stores|0||0||0||0||0||0||0||0|
02|19|0400000US19|Iowa||2016|1580|All other and unallocable|2266||12792609||311||718721||33574||2457||2577||13511330|
02|20|0400000US20|Kansas||2016|1000|Total - All Government Employment Functions|46519||217345888||18059||20124936||991753||52118||64578||237470824|
02|20|0400000US20|Kansas||2016|1020|Financial Administration|1698||6795126||44||69421||3519||1718||1742||6864547|
02|20|0400000US20|Kansas||2016|1040|Other Government Administration|453||1514056||180||449752||19320||562||633||1963808|
02|20|0400000US20|Kansas||2016|1060|Judicial and Legal|2073||9001737||94||125993||6932||2112||2167||9127730|
02|20|0400000US20|Kansas||2016|1100|Police Protection Total|1015||4725441||69||103887||5740||1047||1084||4829328|
02|20|0400000US20|Kansas||2016|1101|Police Protection - Persons with Power of Arrest|277||1524235||22||43349||2086||289||299||1567584|
02|20|0400000US20|Kansas||2016|1102|Police Protection - Other|738||3201206||47||60538||3654||758||785||3261744|
02|20|0400000US20|Kansas||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1140|Corrections|3420||10746032||17||24377||1577||3429||3437||10770409|
02|20|0400000US20|Kansas||2016|1160|Highways|2587||9552411||176||169778||11249||2651||2763||9722189|
02|20|0400000US20|Kansas||2016|1180|Air Transportation|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1200|Water Transport and Terminals|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1220|Public Welfare|2922||10211168||56||44146||4301||2947||2978||10255314|
02|20|0400000US20|Kansas||2016|1240|Health|1004||4056101||40||82017||3613||1024||1044||4138118|
02|20|0400000US20|Kansas||2016|1260|Hospitals|8975||45718830||2001||5474352||150345||9824||10976||51193182|
02|20|0400000US20|Kansas||2016|1280|Social Insurance Administration|96||351498||1||210||33||96||97||351708|
02|20|0400000US20|Kansas||2016|1300|Solid Waste Management|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1320|Sewerage|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1340|Parks and Recreation|544||1648463||2||846||66||544||546||1649309|
02|20|0400000US20|Kansas||2016|1360|Housing and Community Development|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1380|Natural Resources|746||3242897||90||76861||6161||781||836||3319758|
02|20|0400000US20|Kansas||2016|1400|Water Supply|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1420|Electric Power|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1460|Transit|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1480|Education Total|18957||101170986||15114||13258468||766179||23283||34071||114429454|
02|20|0400000US20|Kansas||2016|1481|Education - Elementary and Secondary Total|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|14811|Education - Elementary and Secondary Instructional|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|14812|Education - Elementary and Secondary Other|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1482|Education - Higher Education Total|18363||98577151||15042||13160235||761723||22665||33405||111737386|
02|20|0400000US20|Kansas||2016|14821|Education - Higher Education Instructional|6775||49206317||4098||6656048||255486||8218||10873||55862365|
02|20|0400000US20|Kansas||2016|14822|Education - Higher Education Other|11588||49370834||10944||6504187||506237||14447||22532||55875021|
02|20|0400000US20|Kansas||2016|1483|Education - Other|594||2593835||72||98233||4456||618||666||2692068|
02|20|0400000US20|Kansas||2016|1500|Libraries|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1560|State liquor stores|0||0||0||0||0||0||0||0|
02|20|0400000US20|Kansas||2016|1580|All other and unallocable|2029||8611142||175||244828||12718||2100||2204||8855970|
02|21|0400000US21|Kentucky||2016|1000|Total - All Government Employment Functions|74313||332405399||25571||27918843||1926149||85606||99884||360324242|
02|21|0400000US21|Kentucky||2016|1020|Financial Administration|2453||9780107||31||33838||1170||2460||2484||9813945|
02|21|0400000US21|Kentucky||2016|1040|Other Government Administration|777||3920027||397||887239||36213||994||1174||4807266|
02|21|0400000US21|Kentucky||2016|1060|Judicial and Legal|5637||19685226||224||330604||20425||5758||5861||20015830|
02|21|0400000US21|Kentucky||2016|1100|Police Protection Total|2061||7907249||8||8028||446||2064||2069||7915277|
02|21|0400000US21|Kentucky||2016|1101|Police Protection - Persons with Power of Arrest|1047||3975436||5||1983||111||1048||1052||3977419|
02|21|0400000US21|Kentucky||2016|1102|Police Protection - Other|1014||3931813||3||6045||335||1016||1017||3937858|
02|21|0400000US21|Kentucky||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1140|Corrections|4071||12873522||7||7699||459||4074||4078||12881221|
02|21|0400000US21|Kentucky||2016|1160|Highways|4521||16114344||16||31993||1231||4528||4537||16146337|
02|21|0400000US21|Kentucky||2016|1180|Air Transportation|30||118207||0||0||0||30||30||118207|
02|21|0400000US21|Kentucky||2016|1200|Water Transport and Terminals|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1220|Public Welfare|7027||22189219||26||43235||1912||7039||7053||22232454|
02|21|0400000US21|Kentucky||2016|1240|Health|3362||14895148||91||103741||4421||3387||3453||14998889|
02|21|0400000US21|Kentucky||2016|1260|Hospitals|6457||30836705||883||1893471||63128||6813||7340||32730176|
02|21|0400000US21|Kentucky||2016|1280|Social Insurance Administration|1199||3764042||24||37516||1607||1208||1223||3801558|
02|21|0400000US21|Kentucky||2016|1300|Solid Waste Management|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1320|Sewerage|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1340|Parks and Recreation|1010||2670084||11||8471||881||1015||1021||2678555|
02|21|0400000US21|Kentucky||2016|1360|Housing and Community Development|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1380|Natural Resources|2576||9782050||176||175383||9278||2629||2752||9957433|
02|21|0400000US21|Kentucky||2016|1400|Water Supply|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1420|Electric Power|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1460|Transit|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1480|Education Total|30622||168393935||23417||24244070||1780599||41071||54039||192638005|
02|21|0400000US21|Kentucky||2016|1481|Education - Elementary and Secondary Total|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|14811|Education - Elementary and Secondary Instructional|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|14812|Education - Elementary and Secondary Other|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1482|Education - Higher Education Total|28609||159717872||22850||23913780||1762910||38955||51459||183631652|
02|21|0400000US21|Kentucky||2016|14821|Education - Higher Education Instructional|9505||79549617||7194||11205071||516349||12539||16699||90754688|
02|21|0400000US21|Kentucky||2016|14822|Education - Higher Education Other|19104||80168255||15656||12708709||1246561||26416||34760||92876964|
02|21|0400000US21|Kentucky||2016|1483|Education - Other|2013||8676063||567||330290||17689||2116||2580||9006353|
02|21|0400000US21|Kentucky||2016|1500|Libraries|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1560|State liquor stores|0||0||0||0||0||0||0||0|
02|21|0400000US21|Kentucky||2016|1580|All other and unallocable|2510||9475534||260||113555||4379||2536||2770||9589089|
02|22|0400000US22|Louisiana||2016|1000|Total - All Government Employment Functions|66308||314490395||20529||20648600||1300419||73796||86837||335138995|
02|22|0400000US22|Louisiana||2016|1020|Financial Administration|2600||12996464||199||295751||15746||2689||2799||13292215|
02|22|0400000US22|Louisiana||2016|1040|Other Government Administration|1727||7827051||518||722981||45242||1984||2245||8550032|
02|22|0400000US22|Louisiana||2016|1060|Judicial and Legal|1636||7566990||40||55156||2100||1647||1676||7622146|
02|22|0400000US22|Louisiana||2016|1100|Police Protection Total|1748||12677227||57||197631||7648||1791||1805||12874858|
02|22|0400000US22|Louisiana||2016|1101|Police Protection - Persons with Power of Arrest|1183||9672328||31||112069||3729||1204||1214||9784397|
02|22|0400000US22|Louisiana||2016|1102|Police Protection - Other|565||3004899||26||85562||3919||587||591||3090461|
02|22|0400000US22|Louisiana||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
02|22|0400000US22|Louisiana||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
02|22|0400000US22|Louisiana||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
02|22|0400000US22|Louisiana||2016|1140|Corrections|5645||22453039||114||154725||10031||5702||5759||22607764|
02|22|0400000US22|Louisiana||2016|1160|Highways|4287||20612053||46||99654||3373||4306||4333||20711707|
02|22|0400000US22|Louisiana||2016|1180|Air Transportation|0||0||0||0||0||0||0||0|
